ObjectiveName	ObjectiveDescription	PerspectiveName	PrefixName	OwnerID
Safety	All people are safe and feel safe regardless of address.	Renewal	Segment Teams	80
Healthy Lifestyles	Residents live healthy lifestyles and make informed choices. &nbsp;They have access to excellent, comprehensive services for health, wellness and recreation.&nbsp;	Renewal	Segment Teams	80
Education	Our pre-K through 12 schools and students are the pride of our community and are nationally recognized for excellence. &nbsp;All education and training programs are dynamic, provide accessible paths to fulfilling careers, and are highly valued by our citizens and employers.	Renewal	Segment Teams	80
Economy & Jobs	The region &nbsp;has a skilled and sought-after workforce - enabling all families to improve their standard of living. &nbsp;Our people are employed and per capita income is above the national average.<br /> <br /> As a hub of ideas and innovation, we nurture, grow and attract world-class industries and employers. We are recognized for leadership in advanced manufacturing, logistics and agribusiness.	Revitalization	Segment Teams	80
Planning	We take a purposeful, transparent, and results-oriented approach to planning for growth and renewal.&nbsp;	Funding our Future	Segment Teams	80
Living the Brand	All residents in the Rockford region see the community with new eyes. &nbsp;They feel proud of where they live, have confidence in the future and inspire others to conduct their lives in a way that promotes our region from within.	Reframing a 21st Century Community	Segment Teams	80
Funding and Alignment	Our local governments and not-for-profits are effective and properly supported and aligned with the community vision.	Funding our Future	Segment Teams	80
Quality	Our commitment to quality drives all community activities - delivering superior infrastructure, services and attractions.	Revitalization	Segment Teams	80
Physical Infrastructure	Our transportation and communication systems are robust and accessible. &nbsp;They efficiently connect people to opportunities and amenities within and beyond our area.	Revitalization	Segment Teams	80
Families and Neighborhoods	Strong, engaged individuals and families are the foundation of vibrant neighborhoods throughout the region. &nbsp;Neighborhoods are interconnected, adding to our sense of unity.&nbsp;	Sense of Place	Segment Teams	77
Leadership and Youth Segment	Our leaders are visionary, effective, respected and supported. They engage our youth and actively develop next-generation leaders.	Renewal	Segment Teams	80
Arts and Recreation	Diverse forms of creative expression and recreation flourish, and lead to self-fulfillment and national acclaim.	Sense of Place	Segment Teams	80
Unity, Pride, Culture	Our community is unified. &nbsp;We celebrate our diversity, take pride in our individual and collective accomplishments and live our shared values.	Sense of Place	Segment Teams	80
Increased foot patrols in neighborhoods.	This is default description text. You can edit it by finding General tab item from Administration &gt; Custom Tabs &gt; Objective Tabs	Internal Processes	No Prefix	71
Safety - Strategy #5	<span style="line-height: 13px; white-space: pre-wrap; font-family: arial, sans, sans-serif; font-size: 13px; background-color: #ffffff;"></span><span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">The organization designing the Cultural Plan for Rockford in partnership with the RACV, and the Rockford Park Distrik will develop and imlent a comprehensive marekting plan to pulicize and promote Rockford and the Rockford region's arts, recreation and cultural events, opportunities, and assets to local, state, national, and global audiences.</span><br /> <span style="line-height: 13px; white-space: pre-wrap; font-family: arial, sans, sans-serif; font-size: 13px; background-color: #ffffff;"></span>	Renewal	Spoke Teams	80
Safety - Eliminate Domestic Violence	<span style="line-height: 27px; font-family: &quot;open sans&quot;, sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;" id="docs-internal-guid-e1e2077f-9830-f4d4-cdd0-a6d284e65cd6"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="white-space: pre-wrap; line-height: 27px; font-family: calibri; font-size: 13px;" id="docs-internal-guid-e1e2077f-9833-536a-1dc3-647fcdba5393"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; line-height: 27px;">Our community works together to prevent and stop domestic violence.</span></h3> </span></h3> </span>	Renewal	Spoke Teams	80
Safety - Cooperative Justice	<span style="line-height: 27px; font-family: &quot;open sans&quot;, sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;"><span id="docs-internal-guid-e1e2077f-9832-70ea-b810-ca7fe8442a08" style="font-size: 13.3333px; font-family: calibri; vertical-align: baseline; white-space: pre-wrap;">Law enforcement agencies partner together to create a safe and secure community.</span><br /> </span>	Renewal	Spoke Teams	80
Safety - Empowering our Youth	<span style="line-height: 27px; font-family: &quot;open sans&quot;, sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;" id="docs-internal-guid-5a5ee884-9835-950c-0729-4a7982256241"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; white-space: pre-wrap; line-height: 27px;">Our community develops a sense of belonging and self-worth in our youth.</span></h3> </span>	Renewal	Spoke Teams	80
Safety - Community Engagement	<span style="line-height: 27px; font-family: &quot;open sans&quot;, sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;" id="docs-internal-guid-e1e2077f-9834-9018-8c9d-90bfab0e49a8"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; white-space: pre-wrap; line-height: 27px;">Our community takes responsibility for everyone&rsquo;s safety.</span></h3> </span>	Renewal	Spoke Teams	80
Framework	<span id="docs-internal-guid-f28a0599-116d-5e2f-47f0-21b562c53610"><span style="font-family: arial; font-size: 18px;"> </span> <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;"><span style="vertical-align: baseline; white-space: pre-wrap; font-family: arial; font-size: 18px;">To create policies, aligned objectives, reports, evaluations to support the initiative of Transform Rockford</span></p> <div><span style="font-size: 17.3333px; vertical-align: baseline; white-space: pre-wrap;"><span style="font-family: arial; font-size: 18px;"><br /> Deliverable <span id="docs-internal-guid-86c35793-6fc9-213c-ee5c-72722e446a5c" style="vertical-align: baseline; white-space: pre-wrap; font-size: 18px;">Policies, Aligned Objectives, Reports, Evaluations, Course Corrections</span><br /> </span><span style="font-weight: 700; font-family: calibri; color: #666666;"> </span></span></div> </span>	Strategies	Support Teams	80
Dashboard	<span id="docs-internal-guid-f28a059a-116e-f3da-4d25-02a4e23e3191"><span style="font-family: arial; font-size: 18px;"> </span> <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;"><span style="vertical-align: baseline; white-space: pre-wrap; font-family: arial; font-size: 18px;">To create a Community Dashboard which provides </span></p> <ul style="margin-top: 0pt; margin-bottom: 0pt;">     <li dir="ltr" style="list-style-type: disc; font-size: 17.3333px; vertical-align: baseline; margin-left: -15px;">     <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;"><span style="vertical-align: baseline; white-space: pre-wrap; font-family: arial; font-size: 18px;">Objective understanding of community&rsquo;s condition, progress, trends</span></p>     </li>     <li dir="ltr" style="list-style-type: disc; font-size: 17.3333px; vertical-align: baseline; margin-left: -15px;">     <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;"><span style="vertical-align: baseline; white-space: pre-wrap; font-family: arial; font-size: 18px;">Informed course corrections</span></p>     </li>     <li dir="ltr" style="list-style-type: disc; font-size: 17.3333px; vertical-align: baseline; margin-left: -15px;"><span style="vertical-align: baseline; white-space: pre-wrap; font-family: arial; font-size: 18px;">Community/national transformation awareness</span></li> </ul> <div><span style="font-size: 17.3333px; white-space: pre-wrap;"><span style="font-family: arial; font-size: 18px;"> Deliverable <span id="docs-internal-guid-86c35793-6fce-b46d-1cd7-07e48a98874d" style="vertical-align: baseline; white-space: pre-wrap; font-size: 18px;">Identifications of recognized benchmarks, valuable communication, community course corrections</span><br /> </span><strong style="font-family: calibri;"> </strong></span></div> </span>	Strategies	Support Teams	77
T-Map	<span style="font-size: 18px;"><span id="docs-internal-guid-f28a059b-1170-132b-c389-0c58d82497fc" style="vertical-align: baseline; white-space: pre-wrap; font-family: calibri; font-size: 18px;">To communicate community plans and align stakeholders in transformation</span><br /> <br /> By the 4th quarter 2016 Transform Rockford will have an established transformation map (T-Map)</span>	Strategies	Support Teams	80
Project Inventory	<span id="docs-internal-guid-f28a059c-1171-2caa-4392-949adf177260"> <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;"><span style="font-size: 17.3333px; vertical-align: baseline; white-space: pre-wrap; font-family: calibri;">Identify, prioritize, and communicate cornerstone projects to build capacity and expectations of transformation prior to completed T-Map.</span></p> <div><span style="font-size: 17.3333px; vertical-align: baseline; white-space: pre-wrap; font-family: calibri; color: #ffffff;"><br /> <span style="font-weight: 700;"> </span></span></div> </span>	Strategies	Support Teams	78
Project Launches	<span id="docs-internal-guid-f28a059d-1171-fcd4-73d9-bff047ceb334" style="font-size: 17.3333px; vertical-align: baseline; white-space: pre-wrap; font-family: calibri;">Implement foundational and/or high-impact projects.</span>	Strategies	Support Teams	78
Network Map	<span style="line-height: 28.8px; white-space: pre-wrap; font-family: calibri, carlito, sans-serif; font-size: 24px; background-color: #ffffff;"><span style="line-height: 28.8px; white-space: pre-wrap; font-family: calibri, carlito, sans-serif; font-size: 24px; background-color: #ffffff;">To optimize engagement, communication and alignment of Network Map</span><br /> </span>	Strategies	Support Teams	77
Stakeholder Alignment	<span id="docs-internal-guid-f28a059f-1173-49fb-fce6-f5f0191bab36"> <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;"><span style="font-size: 17.3333px; vertical-align: baseline; white-space: pre-wrap; font-family: calibri;">To align stakeholders to increase pace and efficiency of transformation around the community's vision and values</span></p> <div><span style="font-size: 17.3333px; vertical-align: baseline; white-space: pre-wrap; font-family: calibri; color: #ffffff;"><br /> <span style="font-weight: 700;"> </span></span></div> </span>	Strategies	Support Teams	81
Enhanced Rockford Brand	<span id="docs-internal-guid-f28a05a0-1174-215f-e8b4-78b0e41d9cf6"><span style="font-family: arial; font-size: 18px;"> </span> <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;"><span style="vertical-align: baseline; white-space: pre-wrap; font-family: arial; font-size: 18px;">To Improve the understanding of the region&rsquo;s opportunities and transformation</span></p> <div><span style="font-size: 17.3333px; vertical-align: baseline; white-space: pre-wrap; color: #ffffff;"><span style="font-family: arial; font-size: 18px;"><br /> </span><span style="font-weight: 700; font-family: calibri;"> </span></span></div> </span>	Strategies	Support Teams	81
Support, Leadership	<span id="docs-internal-guid-f28a05b6-1174-df1d-abed-67c819b48341" style="font-size: 17.3333px; vertical-align: baseline; white-space: pre-wrap; font-family: arial;">Deliverable <span id="docs-internal-guid-86c35793-6fc7-6aaf-b8a6-78c088e7c9b4" style="vertical-align: baseline; white-space: pre-wrap; font-family: calibri; font-size: 18px;">Satisfaction of all teams with the support and leadership provided by the initiative and networks</span><span style="font-weight: 700;"><br /> <span style="font-family: arial; font-size: 17.3333px; white-space: pre-wrap;">To create an environment where teams can facilitate transformation</span><br /> </span></span>	Strategies	Support Teams	80
Communications - Inclusive Sharing of Information	<span style="font-size: 14px; line-height: 17px; font-family: helvetica, arial, sans-serif; color: #333333; background-color: #ffffff;" id="docs-internal-guid-e1e2077f-97d0-8327-30f0-69638368c9c2"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; white-space: pre-wrap; line-height: 17px;">Our community creates and supports a network of resources that will obtain, produce and share information.</span></h3> </span>	Reframing a 21st Century Community	Spoke Teams	80
Communications - Sharing the Stories	<span style="font-size: 14px; line-height: 17px; font-family: helvetica, arial, sans-serif; color: #333333; background-color: #ffffff;" id="docs-internal-guid-e1e2077f-97d2-5a5b-3fff-4987a102b232"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; white-space: pre-wrap; line-height: 17px;">Our community effectively tells the inspiring and compelling story of a transforming region to external markets.</span></h3> </span>	Reframing a 21st Century Community	Spoke Teams	80
Living the Brand - Living the Values	<span style="font-size: 14px; line-height: 17px; font-family: helvetica, arial, sans-serif; color: #333333; background-color: #ffffff;" id="docs-internal-guid-e1e2077f-97d3-ab57-9ef2-b604f28a3e9d"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; white-space: pre-wrap; line-height: 17px;">Our community commits to living our Shared Values.</span></h3> </span>	Reframing a 21st Century Community	Spoke Teams	80
Living the Brand - Live the Brand Now	<span style="font-size: 14px; line-height: 17px; font-family: helvetica, arial, sans-serif; color: #333333; background-color: #ffffff;" id="docs-internal-guid-e1e2077f-97d4-7227-3124-ca36d688f759"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="white-space: pre-wrap; line-height: 17px; font-family: calibri; font-size: 13px;" id="docs-internal-guid-e1e2077f-97d6-f4bb-7d8a-e2a314104866"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; line-height: 17px;">Our community shares responsibility for looking, acting, and communicating like the region we want to be.</span></h3> </span></h3> </span>	Reframing a 21st Century Community	Spoke Teams	80
Living the Brand - We Promote	<span style="font-size: 14px; line-height: 17px; font-family: helvetica, arial, sans-serif; color: #333333; background-color: #ffffff;" id="docs-internal-guid-e1e2077f-97d5-3bab-0407-890124610704"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; white-space: pre-wrap; line-height: 17px;">Our community embraces and consistently promotes ALL the opportunities provided by the region&rsquo;s amenities and attributes</span></h3> </span>	Reframing a 21st Century Community	Spoke Teams	80
Quality - Strategy 1	<p style="box-sizing: border-box; margin: 0px 0px 8.5px; color: #333333; font-family: helvetica, arial, sans-serif; font-size: 14px; line-height: 17px; background-color: #ffffff;">Our community will deliver superior quality by instilling local, national and international standards</p>	Revitalization	Spoke Teams	80
Quality - Strategy 2	<p style="box-sizing: border-box; margin: 0px 0px 8.5px; color: #333333; font-family: helvetica, arial, sans-serif; font-size: 14px; line-height: 17px; background-color: #ffffff;">Our community will deliver superior quality by creating a standard where one does not exist</p>	Revitalization	Spoke Teams	80
Economy and Jobs - Strtagey #1	<p style="box-sizing: border-box; margin: 0px 0px 8.5px; font-family: helvetica, arial, sans-serif; font-size: 14px; line-height: 17px; background-color: #ffffff;"><span style="font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">UNIFIED WORKFORCE DEVELOPMENT NETWORK:<br /> A partnership of employers and trainers consolidates and coordinates a framework for training through a unified regional workforce network</span></p>	Revitalization	Spoke Teams	80
Economy and Jobs - Strategy #2	<span style="font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">INNOVATION ECOSYSTEM:<br /> Public and private collaboration foster a world-class business development ecosystem to launch innovation and entrepreneurship.</span>	Revitalization	Spoke Teams	80
Economy and Jobs - Strategy #3	<p style="box-sizing: border-box; margin: 0px 0px 8.5px; color: #333333; font-family: helvetica, arial, sans-serif; font-size: 14px; line-height: 17px; background-color: #ffffff;"><span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">NATIONALLY RECOGNIZED LEADERSHIP INDUSTRY CLUSTERS:<br /> Dominant industry clusters command national recognition: they leverage adjacent urban center assets and develop high performing supply chains locally.</span></p>	Revitalization	Spoke Teams	80
Economy and Jobs - Strategy #4	<p style="box-sizing: border-box; margin: 0px 0px 8.5px; color: #333333; font-family: helvetica, arial, sans-serif; font-size: 14px; line-height: 17px; background-color: #ffffff;"><span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">STIMULATING INCOME &amp; JOB GROWTH:<br /> Private businesses, with the support of public entities stimulate job growth using career ladders..</span><br /> <br /> </p>	Revitalization	Spoke Teams	80
Economy and Jobs - Strategy #4	<p style="box-sizing: border-box; margin: 0px 0px 8.5px; color: #333333; font-family: helvetica, arial, sans-serif; font-size: 14px; line-height: 17px; background-color: #ffffff;"></p> <div id="radePasteHelper" style="position: absolute; border: 0px solid red; top: 0px; overflow: hidden;"><span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">ATTRACTING BUSINESSES REGIONALLY:<br /> Economic development partners collaborate regionally for business retention, expansion and attraction.</span><br /> </div>	Revitalization	Spoke Teams	80
Communications	<span style="line-height: 27px; font-family: 'open sans'; font-size: 16px; color: #777777; background-color: #ffffff;">From our backyards to the world stage we facilitate and implement best practices in compelling and genuine communication for and among all residents, resulting in shared community pride and a positive image and reputation for the region.</span>	Reframing a 21st Century Community	Spoke Teams	80
Funding and Alignment - Strategy #1	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">Establish a common agenda - Information and resources are shared through open and frequent communication in a state of optimum effectiveness, collaboration, and funding.</span>	Funding our Future	Spoke Teams	74
Funding and Alignment - Strategy #2	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">Set metrics - The Rockford Region, working collaboratively and cooperatively, ensures effective and efficient delivery of services.</span>	Funding our Future	Spoke Teams	74
Funding and Alignment - Strategy #3	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">Create accountability - The Rockford region works together for the common good to achieve the community vision and maintains accountability and alignment through financial and public pressure for compliance.</span>	Funding our Future	Spoke Teams	74
Planning - Strategy #1	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">Establish trust in community planning by elevating participation to a partnership level, where representatives of governing organizations and people from all segments of the community jointly plan, design, share work, responsibilities, accountabilities and decision-making.</span>	Funding our Future	Spoke Teams	74
Planning - Strategy #2	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">Achieve full participation in governmental elections, where all members of the community vote and elect leaders that support the community&rsquo;s strategies and plans.</span>	Funding our Future	Spoke Teams	80
Planning - Strategy #3	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Reach every member of the community to gain participation in planning processes in their individual areas of interest, provide information on plan developments, and build commitments to achieve results.</span>	Funding our Future	Spoke Teams	80
Planning - Strategy #4	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Establish and embed proven implementation practices in our community plans that excite the community and enable the achievement of plan objectives within established timeframes.</span><br />	Funding our Future	Spoke Teams	80
Infrastructure - Strategy #1	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">Interstate Loop:The region can benefit from a more balanced land use distribution model, but key infrastructure such as an interstate loop are necessary. Regional leaders and key stakeholders will work diligently through RMAP to secure funding for this critical infrastructure. Jobs and economic development in the western half of the region can directly benefit from this additional roadway capacity and travel option. Moreover, industry clusters in freight and logistics can directly benefit from connections to the growing hub at RFD and the economic recovery zones that surround it..</span>	Revitalization	Spoke Teams	80
Infrastructure - Strategy #2	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">The region can benefit from modernization and upgrades to the privately-owned rail network that not only create opportunities for growth, jobs and a better quality of life, but complement the existing momentum of renewal that is centered on transit-oriented-development in the urban core. This vision supports removal and cleaning of blighted brownfield areas with a new mix of retail, housing and office uses. The vision also supports the creation of passenger rail connections to Chicagoland, both inter-city and commuter, that complement rather than compete with freight interests. Regional leaders will have to work through RMAP to advance these efforts.</span><br />	Revitalization	Spoke Teams	80
Infrastructure - Strategy #3	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">Public transit, sidewalks and paths for the region will become a true transportation option for all citizens, serving workplace, medical, shopping, fitness and entertainment trips at a high level. Regional leaders and key stakeholders will work diligently through RMAP and RMTD to secure funding for increased transit operations and infrastructure. The existing &ldquo;fixed-route&rdquo; bus network will transition to primarily a door-to-door operation using new technology and partnerships.</span>	Revitalization	Spoke Teams	80
Infrastructure - Strategy #4	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">Provide an economically sustainable WiFi expandable infrastructure in the tri-city area by 2025 that caters to the needs of citizens and visitors.</span>	Revitalization	Spoke Teams	80
Infrastructure - Strategy #5	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Secure private/public (f)ISP to provide a fiber to the home/business network in the tri-city area with speeds of at least 10g or better by 2025.</span><br />	Revitalization	Spoke Teams	80
Education - All Are Ready	<span style="line-height: 27px; font-family: &quot;open sans&quot;, sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;" id="docs-internal-guid-e1e2077f-982d-eb92-9a94-c5d3774c5f7d"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; white-space: pre-wrap; line-height: 27px;">Students, educators, and families are ready to fulfill their responsibilities. </span></h3> </span>	Renewal	Spoke Teams	80
