Name,Description,PrefixName,StartDate,EndDate,Status,ColorName,AssignedToOwnerID,AssignedByOwnerID
Asset Mapping,,,6/26/2016,8/5/2016,Not Approved,Light Green,,78
Baseline Scenarios established,,,8/7/2016,9/2/2016,Not Approved,Light Green,,78
Community Choosing,,,9/1/2017,11/1/2017,Not Approved,Light Green,,78
Complete template and support documents,,,,,On-Track,,78,77
Complete T-Map,,,,12/31/2016,On-Track,Yellow,77,78
Completed Dashboard with supporting metrics,,,,3/31/2016,Behind Schedule,,77,74
Compose Network Map Strategy Map,,,6/1/2016,6/30/2016,Ahead of Schedule,Light Green,74,74
Create prototype for FOAFIAF social graph,"<ul style=""margin-top: 0pt; margin-bottom: 0pt;"">     <li dir=""ltr"" style=""list-style-type: disc; font-size: 17.3333px; font-family: arial; vertical-align: baseline;"">     </li>     <li dir=""ltr"" style=""list-style-type: disc; font-size: 17.3333px; font-family: arial; vertical-align: baseline;""></li> </ul>",,,5/31/2016,Completed,,74,74
Define Project Managers,,,,3/31/2016,Approved but Not Started,,,74
Define tool(s) capability enabling feature user stories,"<br /> <div id=""radePasteHelper"" style=""position: absolute; border: 0px solid red; top: 0px; overflow: hidden;""> <ul style=""margin-top: 0pt; margin-bottom: 0pt;"">     <li dir=""ltr"" style=""list-style-type: disc; font-size: 17.3333px; font-family: arial; vertical-align: baseline;"">     </li>     <li dir=""ltr"" style=""list-style-type: disc; font-size: 17.3333px; font-family: arial; vertical-align: baseline;"">     </li> </ul> </div>",,,,On-Track,,74,74
District Brand Established,,,1/1/2017,3/24/2017,Not Approved,Light Green,,78
Draft Process Framework,,,4/3/2016,5/6/2016,On-Track,Light Green,,78
Draft Scenarios,,,4/2/2017,8/31/2017,Not Approved,Light Green,,78
Draft Vision Maps,,,10/1/2017,1/19/2018,Not Approved,Light Green,,78
Ensure PM's are effectively using project framework,,,,,N/A,,,74
Establish open source project FOAFIAF and invite developers,"<ul style=""margin-top: 0pt; margin-bottom: 0pt;"">     <li dir=""ltr"" style=""list-style-type: disc; font-size: 17.3333px; font-family: arial; vertical-align: baseline;""></li> </ul>",,,6/30/2016,Approved but Not Started,,74,74
Established Working Partnerships ,,,,9/30/2016,Approved but Not Started,,,74
Implement Vision,,,3/4/2018,6/1/2021,Not Approved,Light Green,,78
IntreSegment Review Site and Intergration,,,,,N/A,,79,79
Judicial System Training - Phase 3,,,8/25/2016,9/29/2016,Behind Schedule,Unfavorable Variance Red,,77
Launch Prioritized Projects,,,,,Approved but Not Started,,,74
Measure Implementation Plan Progress,,,5/6/2018,12/31/2021,N/A,Light Green,,78
Neighborhood Brand established,,,1/1/2018,2/2/2018,Not Approved,Light Green,,78
Police Training - Phase 2,Training of law enforcement,,7/7/2016,8/25/2016,On-Hold,Light Blue,,77
Project Technical Setup,,,5/22/2016,6/17/2016,Not Approved,Light Green,,78
Recruit Officers,,,,,N/A,,,74
Setup Community needs,,,,,N/A,,79,79
Setup IdeaScale Site,Setup Admin<br /> Configure site,,,,N/A,,79,79
Spoke and Support Teams & Stakeholders/Partners Engagement,,,5/1/2016,6/1/2016,On-Track,Light Green,,78
Street Ministry Training - Phase 1,,,5/19/2016,5/26/2016,N/A,Light Green,,77
Train Officers,,,,,N/A,,,74
